Clade.1,Clade.2,Clade.3,Sec_Ref,Primary_Ref,Method,Taxon,EBM.ref.sp,Aves,BM.g,Pneumatic,BM.Qual,Meas.sp,HumerusLen,HumerusCirc,FemurCirc,FemurLen,TibulaLen,TibiaCirc,TarsusLen,TarusCirc,Sex,Comments,Living,humerus_diameter_(mm),tarsus_diameter_(mm),coracoid_HAF_(mm),coracoid_HAF_(mm),coracoid_max_length
Theropoda,Tyrannosauroidea,,Campione_&_Evans_2020,Henderson_(2003),Slicing,Tyrannosaurus_rex,CM_9380,N,8033000,,,CM_9380,,,534,,,,,,,Reconstruction_includes_the_holotype_and_vertebrae_from_AMNH_5866,0,,,,,
Theropoda,Tyrannosauroidea,,Campione_&_Evans_2020,Allen_et_al._(2013),Scan,Tyrannosaurus_rex,CM_9380,N,10800000,,Mean,CM_9380,,,534,,,,,,,,0,,,,,
Theropoda,Tyrannosauroidea,,Campione_&_Evans_2020,Paul_(1988),Physical,Tyrannosaurus_rex,CM_9380/AMNH_5027,N,5670000,,,CM_9380,,,534,,,,,,,,0,,,,,
Theropoda,Tyrannosauroidea,,Campione_&_Evans_2020,Seebacher_(2001),Polynomial,Tyrannosaurus_rex,CM_9380/AMNH_5027,N,6650900,,,CM_9380,,,534,,,,,,,,0,,,,,
Theropoda,Tyrannosauroidea,,Campione_&_Evans_2020,Alexander_(1985),Physical,Tyrannosaurus_rex,CM_9380/AMNH_5027,N,7400000,,,CM_9380,,,534,,,,,,,,0,,,,,
Theropoda,Tyrannosauroidea,,Campione_&_Evans_2020,Snively_et_al._(2019),Slicing,Tyrannosaurus_rex,CM_9380/AMNH_5027,N,7458000,,,CM_9380,,,534,,,,,,,Accommodates_for_a_1.4_times_larger_tail,0,,,,,
Theropoda,Tyrannosauroidea,,Campione_&_Evans_2020,Henderson_(1999),Slicing,Tyrannosaurus_rex,CM_9380/AMNH_5027,N,7908000,,,CM_9380,,,534,,,,,,,Reconstruction_from_Paul_(1988),0,,,,,
Theropoda,Tyrannosauroidea,,Campione_&_Evans_2020,Hutchinson_et_al._(2011),Scan,Tyrannosaurus_rex,CM_9380/AMNH_5027,N,9081000,,average,CM_9380,,,534,,,,,,,,0,,,,,
Theropoda,Maniraptoriformes,,Campione_&_Evans_2020,Christiansen_(1998),Physical,Dromiceiomimus_brevitertius,CMN_12228,N,160000,,,ROM_852,,,127.5,437,,,,,,CMN_12228_(FL=437mm)_similar_in_size_to_ROM_852_(FL=437mm),0,,,,,
Theropoda,Tyrannosauroidea,,Campione_&_Evans_2020,Snively_et_al._(2019),Slicing,Daspletosaurus_torosus,CMN_8506,N,3084800,,,AMNH_5438,,,390,,,,,,,CMN_and_AMNH_specimens_previously_cited_together_in_Henderson_&_Snively_(2004)_and_may_be_comparable_in_size,0,,,,,
Theropoda,Tyrannosauroidea,,Campione_&_Evans_2020,Henderson_&_Snively_(2004),Slicing,Daspletosaurus_torosus,CMN_8506/AMNH_5438,N,3844000,,,AMNH_5438,,,390,,,,,,,,0,,,,,
Theropoda,Tyrannosauroidea,,Campione_&_Evans_2020,Paul_(2010),Physical,Tyrannosaurus_rex,FMNH_PR_2081,N,6140000,,,FMNH_PR_2081,,,579,,,,,,,,0,,,,,
Theropoda,Tyrannosauroidea,,Campione_&_Evans_2020,Snively_et_al._(2019),Slicing,Tyrannosaurus_rex,FMNH_PR_2081,N,9657000,,,FMNH_PR_2081,,,579,,,,,,,Accommodates_for_a_1.4_times_larger_tail,0,,,,,
Theropoda,Tyrannosauroidea,,Campione_&_Evans_2020,Henderson_&_Snively_(2004),Slicing,Tyrannosaurus_rex,FMNH_PR_2081,N,10200000,,,FMNH_PR_2081,,,579,,,,,,,,0,,,,,
Theropoda,Tyrannosauroidea,,Campione_&_Evans_2020,Hutchinson_et_al._(2011),Scan,Tyrannosaurus_rex,FMNH_PR_2081,N,13996000,,average,FMNH_PR_2081,,,579,,,,,,,,0,,,,,
Theropoda,Maniraptoriformes,,Campione_&_Evans_2020,Christiansen_(1998),Physical,Gallimimus_bullatus,GI_100/11,N,490000,,,GI_100/11,,,216,,,,,,,,0,,,,,
Theropoda,Maniraptoriformes,,Campione_&_Evans_2020,Seebacher_(2001),Polynomial,Gallimimus_bullatus,GI_100/11,N,585700,,,GI_100/11,,,216,,,,,,,,0,,,,,
Theropoda,Maniraptoriformes,,Campione_&_Evans_2020,Paul_(1988),Physical,Velociraptor_mongoliensis,GI_100/25,N,15000,,,IGM_100/988,,,62,200,,,,,,Paul_(1988)_femur_(FL~200mm)_similar_in_size_to_IGM_100/988_(FL=188mm),0,,,,,
Theropoda,Maniraptoriformes,,Campione_&_Evans_2020,Christiansen_(1998),Physical,Anserimimus_planinychus,GIN_100/300,N,170000,,,GIN_100/300,,,145,,,,,,,Also_compared_to_Gallimimus_(GI_DPS_100/11;_FC=216mm),0,,,,,
Theropoda,Maniraptoriformes,,Campione_&_Evans_2020,Paul_(1988),Physical,Gallimimus_bullatus,Gl_100/11,N,440000,,,GI_100/11,,,216,,,,,,,,0,,,,,
Theropoda,Ceratosauria,,Campione_&_Evans_2020,Paul_(1988),Physical,Elaphrosaurus_bambergi,HMN_dd,N,210000,,,HMN_Gr._S._3844,,,167,,,,,,,Likely_the_same_specimens,0,,,,,
Theropoda,Ceratosauria,,Campione_&_Evans_2020,Christiansen_(1998),Physical,Elaphrosaurus_bambergi,HMN_Gr._S._3844,N,245000,,,HMN_Gr._S._3844,,,167,,,,,,,,0,,,,,
Theropoda,Coelophysoidea,,Campione_&_Evans_2020,Paul_(1988),Physical,Liliensternus_liliensterni,HMN_R1291,N,127000,,,MB_R1291,,,110,,,,,,,,0,,,,,
Theropoda,Maniraptoriformes,,Campione_&_Evans_2020,Allen_et_al._(2013),Scan,Velociraptor_mongoliensis,IGM_100/986_&_987,N,14100,,Mean,IGM_100/988,,,62,163,,,,,,Allen_et_al._(2013)_femur_(FL=163mm)_similar_in_size_to_IGM_100/988_(FL=188mm),0,,,,,
Theropoda,Allosauroidea,,Campione_&_Evans_2020,Seebacher_(2001),Polynomial,Sinraptor_dongi,IVPP_10600,N,1009000,,,TMP_93.115.1_(cast_of_IVPP_10600),,,283,,,,,,,,0,,,,,
Theropoda,Allosauroidea,,Campione_&_Evans_2020,Henderson_&_Snively_(2004),Slicing,Sinraptor_dongi,IVPP_10600,N,1154000,,,TMP_93.115.1_(cast_of_IVPP_10600),,,283,,,,,,,,0,,,,,
Theropoda,Allosauroidea,,Campione_&_Evans_2020,Paul_(1997),Physical,Sinraptor_dongi,IVPP_10600,N,1340000,,,TMP_93.115.1_(cast_of_IVPP_10600),,,283,,,,,,,,0,,,,,
Theropoda,Maniraptoriformes,,Campione_&_Evans_2020,Seebacher_(2001),Polynomial,Sinornithoides_youngi,IVPP_V9612,N,2200,,,IVPP_V9612,,,34.6,,,,,,,,0,,,,,
Theropoda,Ceratosauria,,Campione_&_Evans_2020,Mazzetta_et_al._(1998),GDI,Carnotosaurus_sastrei,MACN_CH_894,N,1500000,,,MACN_CH_894,,,325,,,,,,,,0,,,,,
Theropoda,Ceratosauria,,Campione_&_Evans_2020,Paul_(1997),Physical,Carnotosaurus_sastrei,MACN_CH_894,N,2070000,,,MACN_CH_894,,,325,,,,,,,,0,,,,,
Theropoda,Theropoda,,Campione_&_Evans_2020,Paul_(2010),Physical,Staurikosaurus_pricei,MCZ_1669,N,12000,,,MCZ_1669,,,69,,,,,,,,0,,,,,
Theropoda,Theropoda,,Campione_&_Evans_2020,Allen_et_al._(2013),Scan,Staurikosaurus_pricei,MCZ_1669,N,21300,,mean,MCZ_1669,,,69,,,,,,,,0,,,,,
